Empresa,Año,Mes,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
ICE,2021,11,23.790000000000003,2.0366666666666666,65.99,85.95,27.906666666666666,20.536666666666665,5.956666666666667,0.9066666666666666,23.916666666666668,4.883333333333334,4.285900000000001,95.75666666666666,22.459999999999997,1.7455,9.066733333333334
ICE,2021,12,24.05666666666667,2.393333333333333,52.10333333333333,83.83666666666666,28.686666666666667,20.746666666666666,5.473333333333334,0.8266666666666667,24.166666666666668,4.283333333333332,4.5696666666666665,95.73333333333333,22.486666666666668,1.7125333333333332,8.969700000000001
ICE,2022,1,23.866666666666664,2.8699999999999997,41.18666666666667,76.37333333333333,29.066666666666666,19.87,4.989999999999999,0.7166666666666667,24.203333333333333,1.4066666666666665,5.3944,95.82000000000001,21.423333333333332,1.6289666666666667,8.767133333333334
ICE,2022,2,24.26,2.9933333333333336,41.45333333333333,71.76,29.953333333333333,18.77,5.330000000000001,0.6266666666666666,24.573333333333334,1.5966666666666667,5.7185,95.8,21.19666666666667,1.7063,8.7855
ICE,2022,3,24.939999999999998,2.62,49.160000000000004,74.17666666666666,31.016666666666666,19.94666666666667,5.47,0.6433333333333334,25.38,5.5200000000000005,5.960466666666666,95.76333333333334,22.156666666666666,2.0166666666666666,9.052533333333333
ICE,2022,4,25.38,2.1333333333333333,77.93333333333332,78.39333333333333,31.113333333333333,21.41333333333333,6.55,0.6866666666666666,26.01,8.556666666666667,4.943233333333333,95.66000000000001,23.063333333333333,2.2559,9.5923
ICE,2022,5,24.83,1.4366666666666668,84.50333333333334,86.41333333333334,29.663333333333338,21.713333333333335,8.056666666666667,0.8166666666666668,25.349999999999998,9.943333333333333,4.523733333333333,95.71333333333332,23.49666666666667,2.245233333333333,9.629533333333333
ICE,2022,6,23.733333333333334,1.7700000000000002,91.13999999999999,89.52666666666666,28.236666666666668,20.849999999999998,8.326666666666666,0.9366666666666666,24.223333333333333,18.2,4.252466666666667,95.74333333333334,22.763333333333332,2.3256666666666668,9.515233333333333
ICE,2022,7,24.293333333333333,1.7699999999999998,83.74,88.49333333333334,28.276666666666667,20.973333333333333,7.436666666666667,0.9566666666666667,24.463333333333335,9.72,4.320433333333334,95.74666666666667,23.213333333333335,2.2928,9.538733333333333
ICE,2022,8,24.19333333333333,1.6066666666666667,84.85333333333334,86.46,28.663333333333338,20.433333333333334,7.22,0.9199999999999999,24.49666666666667,8.033333333333333,4.577233333333333,95.74000000000001,22.906666666666666,2.2950666666666666,9.5076
ICE,2022,9,24.22,1.5466666666666666,87.70666666666666,87.96999999999998,28.91,21.626666666666665,7.076666666666667,0.93,24.646666666666665,12.030000000000001,4.431,95.72333333333334,23.09,2.317,9.530866666666666
ICE,2022,10,24.12,1.6066666666666667,78.07333333333334,88.32333333333334,28.24666666666667,21.183333333333334,5.993333333333333,0.9566666666666667,24.41,9.383333333333335,4.331533333333334,95.72000000000001,23.01666666666667,2.062866666666667,9.473066666666666
ICE,2022,11,23.72,1.7233333333333334,80.53333333333335,89.56666666666666,27.97,20.703333333333333,7.376666666666666,0.96,24.01666666666667,16.083333333333332,3.6798,95.69666666666667,22.74666666666667,1.8770666666666667,9.4928
ICE,2022,12,23.473333333333333,2.5666666666666664,53.01666666666667,84.82666666666667,27.616666666666664,19.94666666666667,5.526666666666666,0.9033333333333333,23.47666666666667,3.3866666666666667,4.506233333333333,95.75666666666666,22.043333333333333,1.5496999999999999,9.182933333333333
ICE,2023,1,23.656666666666666,2.9333333333333336,50.50333333333333,81.32333333333332,28.25666666666667,19.55666666666667,5.72,0.7633333333333333,23.883333333333336,2.6300000000000003,4.859166666666667,95.83333333333333,21.826666666666668,1.5952666666666666,9.145966666666666
ICE,2023,2,24.263333333333335,3.75,40.64666666666667,75.28333333333333,30.13,19.416666666666668,6.22,0.6733333333333333,24.613333333333333,2.953333333333333,5.568866666666666,95.79333333333334,21.683333333333334,1.6644666666666665,9.125066666666667
ICE,2023,3,24.61,2.4833333333333334,58.77333333333333,76.89,30.826666666666664,20.183333333333334,7.203333333333333,0.6666666666666666,25.096666666666664,4.443333333333333,5.248633333333333,95.79333333333334,22.173333333333332,1.8789666666666667,9.345466666666667
ICE,2023,4,25.69333333333333,2.3933333333333335,64.71333333333332,73.72,31.77333333333333,20.993333333333336,5.45,0.65,26.316666666666666,3.09,5.526933333333333,95.69,22.810000000000002,2.2032000000000003,9.490266666666665
ICE,2023,5,26.393333333333334,2.0166666666666666,71.20333333333333,77.61666666666666,32.196666666666665,22.28,6.2,0.6533333333333333,26.87,7.773333333333333,5.2077,95.66333333333334,24.006666666666664,2.221166666666667,9.656533333333334
ICE,2023,6,25.416666666666668,1.6633333333333333,84.45666666666666,86.08,29.736666666666668,22.02333333333333,6.923333333333333,0.8433333333333333,25.746666666666666,9.966666666666667,4.7990666666666675,95.67,24.076666666666668,2.3722333333333334,9.648833333333334
ICE,2023,7,25.400000000000002,1.92,84.69666666666667,85.42,30.103333333333335,21.786666666666665,6.91,0.86,25.586666666666662,9.443333333333333,4.560266666666667,95.72000000000001,23.97,2.4191666666666665,9.619900000000001
ICE,2023,8,25.59,1.6966666666666665,83.36666666666666,83.89333333333333,30.94333333333333,21.689999999999998,7.166666666666667,0.8466666666666667,25.92,7.75,4.490733333333334,95.68666666666667,23.993333333333336,2.3384666666666667,9.647033333333333
ICE,2023,9,25.923333333333332,1.4666666666666668,79.89666666666666,81.03666666666668,30.963333333333335,21.7,5.739999999999999,0.8333333333333334,26.206666666666667,6.446666666666666,4.871833333333334,95.65333333333332,23.99666666666667,2.2933,9.6432
ICE,2023,10,24.98,1.6866666666666665,87.83666666666666,88.70333333333333,29.483333333333334,22.156666666666666,6.676666666666667,0.91,25.41333333333333,14.413333333333332,4.2756,95.64333333333333,23.91333333333333,2.2163,9.6603
ICE,2023,11,24.786666666666665,1.8266666666666669,77.55666666666666,89.11,29.080000000000002,21.613333333333333,6.22,0.9666666666666667,25.040000000000003,11.096666666666664,3.9888,95.59333333333332,23.77,1.8552333333333333,9.6308
